url,urlfr,city,prov,id
https://weather.gc.ca/rss/city/ab-37_e.xml,https://meteo.gc.ca/rss/city/ab-37_f.xml,HendricksonCreek,Alberta,32
https://weather.gc.ca/rss/city/ab-24_e.xml,https://meteo.gc.ca/rss/city/ab-24_f.xml,HighLevel,Alberta,33
https://weather.gc.ca/rss/city/ab-4_e.xml,https://meteo.gc.ca/rss/city/ab-4_f.xml,HighRiver,Alberta,34
https://weather.gc.ca/rss/city/ab-68_e.xml,https://meteo.gc.ca/rss/city/ab-68_f.xml,Highvale,Alberta,35
https://weather.gc.ca/rss/city/ab-14_e.xml,https://meteo.gc.ca/rss/city/ab-14_f.xml,Hinton,Alberta,36
https://weather.gc.ca/rss/city/ab-70_e.xml,https://meteo.gc.ca/rss/city/ab-70_f.xml,Jasper,Alberta,37
https://weather.gc.ca/rss/city/ab-34_e.xml,https://meteo.gc.ca/rss/city/ab-34_f.xml,Kananaskis(NakiskaRidgetop),Alberta,38
https://weather.gc.ca/rss/city/ab-32_e.xml,https://meteo.gc.ca/rss/city/ab-32_f.xml,LacLaBiche,Alberta,39
https://weather.gc.ca/rss/city/ab-39_e.xml,https://meteo.gc.ca/rss/city/ab-39_f.xml,Lacombe,Alberta,40
https://weather.gc.ca/rss/city/ab-30_e.xml,https://meteo.gc.ca/rss/city/ab-30_f.xml,Lethbridge,Alberta,41
https://weather.gc.ca/rss/city/ab-15_e.xml,https://meteo.gc.ca/rss/city/ab-15_f.xml,Lloydminster,Alberta,42
https://weather.gc.ca/rss/city/ab-51_e.xml,https://meteo.gc.ca/rss/city/ab-51_f.xml,MedicineHat,Alberta,43
https://weather.gc.ca/rss/city/ab-33_e.xml,https://meteo.gc.ca/rss/city/ab-33_f.xml,MildredLake,Alberta,44
https://weather.gc.ca/rss/city/ab-19_e.xml,https://meteo.gc.ca/rss/city/ab-19_f.xml,MilkRiver,Alberta,45
https://weather.gc.ca/rss/city/ab-38_e.xml,https://meteo.gc.ca/rss/city/ab-38_f.xml,Nordegg,Alberta,46
https://weather.gc.ca/rss/city/ab-11_e.xml,https://meteo.gc.ca/rss/city/ab-11_f.xml,Okotoks,Alberta,47
https://weather.gc.ca/rss/city/ab-35_e.xml,https://meteo.gc.ca/rss/city/ab-35_f.xml,Onefour,Alberta,48
https://weather.gc.ca/rss/city/ab-25_e.xml,https://meteo.gc.ca/rss/city/ab-25_f.xml,PeaceRiver,Alberta,49
https://weather.gc.ca/rss/city/ab-46_e.xml,https://meteo.gc.ca/rss/city/ab-46_f.xml,PincherCreek,Alberta,50
https://weather.gc.ca/rss/city/ab-21_e.xml,https://meteo.gc.ca/rss/city/ab-21_f.xml,RainbowLake,Alberta,51
https://weather.gc.ca/rss/city/ab-29_e.xml,https://meteo.gc.ca/rss/city/ab-29_f.xml,RedDeer,Alberta,52
https://weather.gc.ca/rss/city/ab-40_e.xml,https://meteo.gc.ca/rss/city/ab-40_f.xml,RedEarthCreek,Alberta,53
https://weather.gc.ca/rss/city/ab-16_e.xml,https://meteo.gc.ca/rss/city/ab-16_f.xml,RockyMountainHouse,Alberta,54
https://weather.gc.ca/rss/city/ab-54_e.xml,https://meteo.gc.ca/rss/city/ab-54_f.xml,SlaveLake,Alberta,55
https://weather.gc.ca/rss/city/ab-44_e.xml,https://meteo.gc.ca/rss/city/ab-44_f.xml,Stavely,Alberta,56
https://weather.gc.ca/rss/city/ab-5_e.xml,https://meteo.gc.ca/rss/city/ab-5_f.xml,Stettler,Alberta,57
https://weather.gc.ca/rss/city/ab-22_e.xml,https://meteo.gc.ca/rss/city/ab-22_f.xml,StonyPlain,Alberta,58
https://weather.gc.ca/rss/city/ab-6_e.xml,https://meteo.gc.ca/rss/city/ab-6_f.xml,Strathmore,Alberta,59
https://weather.gc.ca/rss/city/ab-47_e.xml,https://meteo.gc.ca/rss/city/ab-47_f.xml,Suffield,Alberta,60
